track_name,artist,spotify_playlist,spotify_charts,spotify_streams,apple_playlist,deezer_playlist,deezer_charts,shazam_charts,datetime,track,is_outlier
505.0,Arctic Monkeys,13985.0,25.0,1217120710.0,30.0,588.0,1.0,1.0,2007-04-20,,False
69.0,"Nicky Jam, Feid",1134.0,22.0,57945987.0,39.0,48.0,2.0,3.0,2023-05-18,,False
inf,Jaymes Young,4375.0,0.0,888046992.0,24.0,396.0,0.0,0.0,2017-06-23,,False
2055.0,Sleepy hallow,2226.0,0.0,624515457.0,29.0,44.0,0.0,0.0,2021-04-14,,False
212.0,"Mainstreet, Chefin",352.0,0.0,143139338.0,10.0,39.0,0.0,0.0,2022-01-15,,False
295.0,Sidhu Moose Wala,246.0,4.0,183273246.0,4.0,0.0,0.0,7.0,2021-05-15,,False
,Tommy Richman,30716.0,196631588.0,390470936.0,210.0,62.0,17598718.0,2669262.0,2024-04-26,MILLION DOLLAR BABY,True
,Kendrick Lamar,28113.0,174597137.0,323703884.0,188.0,67.0,10422430.0,1118279.0,2024-05-04,Not Like Us,True
,Artemas,54331.0,211607669.0,601309283.0,190.0,136.0,36321847.0,5285340.0,2024-03-19,i like the way you kiss me,True
,Miley Cyrus,269802.0,136569078.0,2031280633.0,394.0,264.0,24684248.0,11822942.0,2023-01-12,Flowers,True
,Eminem,7223.0,151469874.0,107034922.0,182.0,82.0,17660624.0,457017.0,2024-05-31,Houdini,True
,Jack Harlow,105892.0,175421034.0,670665438.0,138.0,86.0,17167254.0,4517131.0,2023-11-10,Lovin On Me,True
,Benson Boone,73118.0,201585714.0,900158751.0,280.0,168.0,48197850.0,9990302.0,2024-01-18,Beautiful Things,True
,FloyyMenor,40094.0,211236940.0,675079153.0,160.0,87.0,33245595.0,6063523.0,2024-02-02,Gata Only,True
,MUSIC LAB JPN,1.0,15.0,1653018119.0,27.0,15.0,229974.0,826437.5,2024-06-09,Danza Kuduro - Cover,True
,Central Cee,10400.0,184199419.0,90676573.0,191.0,78.0,10800098.0,666302.0,2024-05-23,BAND4BAND (feat. Lil Baby),True
,Post Malone,16219.0,168766158.0,250080413.0,157.0,60.0,12009073.0,963413.0,2024-05-10,I Had Some Help (feat. Morgan Wallen),True
,Teddy Swims,2.0,263767.0,111155129.0,27.0,15.0,229974.0,826437.5,2024-06-14,The Door,True
,Billie Eilish,13800.0,197280692.0,221636195.0,244.0,138.0,38243636.0,450344.0,2024-05-17,LUNCH,True
,Future,43025.0,108168634.0,355186436.0,153.0,55.0,3001826.0,1963314.0,2024-03-22,Like That,True
,Kids With Buns,277.0,24445.0,297185.0,1.0,15.0,229974.0,3288.0,2022-10-07,bathroom floor,False
,Myke Towers,103605.0,79944921.0,925655569.0,94.0,60.0,5633435.0,2765808.0,2023-03-22,LALA,True
,Taylor Swift,12784.0,177932568.0,395433400.0,221.0,99.0,37988531.0,1210029.0,2024-04-18,Fortnight (feat. Post Malone),True
,Tate McRae,105218.0,198845580.0,1258569694.0,207.0,188.0,21788568.0,6973652.0,2023-09-14,greedy,True
,Billie Eilish,6499.0,52287548.0,91272461.0,76.0,24.0,5054005.0,257661.0,2024-05-17,BLUE,True
,Harry Styles,407119.0,169783402.0,3301814535.0,455.0,330.0,12907852.0,14967379.0,2022-03-31,As It Was,True
,Doja Cat,170890.0,121712197.0,1065399331.0,158.0,143.0,13718632.0,7559816.0,2023-08-04,Paint The Town Red,True
,Sabrina Carpenter,24425.0,262343414.0,547882871.0,298.0,167.0,41414565.0,1373085.0,2024-04-12,Espresso,True
,MUSIC LAB JPN,10.0,655.0,1655575417.0,27.0,15.0,229974.0,826437.5,2024-05-21,Danza Kuduro - Cover,True
,Beyoncï¿,34044.0,152928632.0,426700979.0,159.0,194.0,40725482.0,2100708.0,2024-02-10,TEXAS HOLD 'EM,True
,official sound studio,1.0,2.0,231434956.0,27.0,15.0,229974.0,826437.5,2024-01-10,Future,True
,WZ Beat,3504.0,661084.0,7382759.0,1.0,1.0,6.0,633525.0,2022-05-24,Beat Automotivo Tan Tan Tan Viral,True
,The Kid LAROI,451732.0,134793519.0,3107100349.0,513.0,166.0,5783693.0,826437.5,2021-07-09,STAY (with Justin Bieber),True
,Pinkfong,60945.0,7530769.0,720822868.0,33.0,19.0,52179.0,2064420.0,2015-12-01,Baby Shark,True
,Ariana Grande,26203.0,197494995.0,591068364.0,194.0,117.0,22062193.0,1579980.0,2024-03-08,we can't be friends (wait for your love),True
,JAY-Z,128.0,485454.0,1003215671.0,27.0,15.0,229974.0,4474248.0,2024-04-12,Numb / Encore,True
,LOVE BGM JPN,31199.0,12874966.0,1645079292.0,27.0,15.0,229974.0,826437.5,2024-05-14,Danza Kuduro - Cover,True
,BABYMONSTER,3479.0,25936342.0,124893397.0,36.0,3.0,347997.0,191867.0,2024-04-01,SHEESH,False
,Tyla,98450.0,150471020.0,670376179.0,225.0,180.0,19469488.0,6447136.0,2023-07-28,Water,True
,Kenya Grace,139141.0,103879363.0,750154960.0,163.0,113.0,16295286.0,7477917.0,2023-09-01,Strangers,True
,Hozier,23557.0,67488850.0,532012790.0,221.0,42.0,658517.0,826437.5,2024-03-22,Too Sweet,True
,Tina Turner,7.0,1519.0,479417905.0,27.0,15.0,229974.0,3692067.0,2024-04-26,What's Love Got to Do with It - 2023 Remaster,True
,Shaboozey,25766.0,180237463.0,311928522.0,149.0,58.0,26516005.0,1707213.0,2024-04-12,A Bar Song (Tipsy),True
,Teddy Swims,88239.0,180617454.0,775135157.0,215.0,133.0,42675181.0,10517831.0,2023-06-23,Lose Control,True
,Gunna,188142.0,80392612.0,759998727.0,123.0,40.0,2225409.0,3945184.0,2023-06-15,fukumean,True
,Tones And I,375201.0,64901153.0,3071214106.0,549.0,584.0,5749770.0,44842636.0,2019-05-10,Dance Monkey,True
,Billie Eilish,10871.0,202626837.0,214237645.0,247.0,67.0,11523335.0,285858.0,2024-05-17,BIRDS OF A FEATHER,True
,sped up 8282,27827.0,5784546.0,170970614.0,2.0,4.0,35737.0,826437.5,2023-04-08,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,True
,David Guetta,262248.0,239957538.0,1658229422.0,285.0,207.0,6479623.0,10973120.0,2022-08-26,I'm Good (Blue),True
